Movie Name,Category,IMDB Rating,Favorite Artist,Favorite Song
Breaking Bad,Action,9.5,Paper Idol,Clouds
The Shawshank Redemption,Drama,9.3,Jimi Hendrix,Little Wing
The Godfather,Action,9.2,Boyce Avenue,Hallelujah
El Camino,Action,7.3,Bad Bunny,DtMF
Shrek,Comedy,8.9,Michael Jackson,Thriller
Inception,Action,8.8,imase,night 
Interstellar,Sci-Fi,8.7,Playboi carti,RIP
Shrek the Halls,Action,8.7,Rebecca Black,Friday 
Whiplash,Drama,8.5,half alive,still feel
Back to the Future,Sci-Fi,8.5,Travis Scott,GOD'S COUNTRY
5 nights at Freddy's,Drama,8.5,Wave to Earth,love.
Back to the Future,Sci-Fi,8.5,Gil Melle,Newport News
Older brother ,Drama,8.5,Kanye West,Paris
End Game,Action,8.4,Lil Tecca,Lot of me
To Kill a Mockinbird,Action,8.3,Omer adam,רחוק מכולם
Star Wars: Return of the Jedi,Sci-Fi,8.3,Don Toliver,Bandit
The Lego Movie ,Adventure,8.3,Idea,Papi
Fauda,Action,8.3,Odeya,Papi
Good Will Hunting,Drama,8.3,Fleetwood Mac,The Chain
Top Gun: Maverick,Action,8.2,Dua Lipa,Sorry Not Sorry
Howl's Moving Castle,Anime,8.2,Laufey,From the start
A silent Voice,Action,8.1,Keshi,B.Y.S
Ford Vs Ferrari,Action,8.1,Starfall,hero
Rush,Action,8.1,Playboi Carti,CRUSH
A silent voice,Anime,8.1,Keshi,Soft Spot
F1: The Movie,Action,7.9,Don Toliver,No Pole
Flashpoint,Action,10.0,Joan Jett,I love rock N Roll
Ferris Bueller's Day Off,Comedy,7.8,Cream,Strange Brew
KPOP DEMON HUNTERS,Action,7.8,SAJA BOYS,YOUR IDOL
Rogue 1,Sci-Fi,7.8,Travis Scott,90210
The Social Network,Drama,7.8,JACKBOYS,OUT WEST
Oceans 11,Thriller,7.7,Future,Polar Opposites
Despicable Me ,Comedy,7.6,Yuno Miles,Pirates on a boat
Baby Driver,Action,7.5,Kid Cudi,Mr. Rager
Baby Driver,Action,7.5,D4vd,What are you waiting for
Weathering away with you,Romance,7.5,Laufey,tough luck
10 things I hate about you ,Romcom,7.4,Taylor Swift ,All too well 10 min version
The Fantastic Four: First Steps,Action,7.3,Don Toliver,Let Her Go
Cars,Animation,7.3,Travis Scott,DUMBO
Free Guy,Comedy,7.1,Guns N' Roses,Sweet Child O' Mine
Mean girls,Romcom,7.1,Nickelback,Bell that dissmisses you from school
Civil War,Action,7.0,Suicide,Rocket USA
Happy Gilmore,Comedy,7.0,Kanye West,Paris
Superman,Comedy,7.0,Kanye West,get em high
The Devil Wears Prada,Drama,7.0,Tears For Fear,Everybody Wants To Rule The World
Crazy Rich Asians,Drama,6.9,JACKBOYS,GANG GANG
Jurassic World,Sci-Fi,6.9,Justin Bieber,Baby
The Amazing Spiderman,Action,6.9,Nicki Minaj,Starships
Scared Shrekless,Thriller,6.7,F* it up,Kamiyah
Space Jam,Comedy,6.5,Fetty Wap,Again
Blair Witch Project ,Horror,6.5,J cole,Shes mine Pt.2
Shrek Forever After,Comedy,6.3,Khantrast,Bunny Thot
Cars 2,Anime,6.2,Sade,Smooth Operator
Down Pariscope,Comedy,6.2,Latto,Blick Some
Cars 2,Action,6.2,xaviersobaed,what zit tooya
Down Periscope,Comedy,6.2,Drake,Not you too
Lego Ninjago Movie,Action,6.1,Metro Boomin,Creepin
Venom Last Dance,Action,6.0,Metro,Space Cadet
Garfield,Comedy,5.7,Bryson tiller,Right my wrongs
A Minecraft Movie,Action,5.6,Jack Black,Steve's Lava Chicken
Daddy Day Care,Comedy,5.6,Kanye,Violent Crimes
MiB,Romance,5.6,Windows ,Quahvo
Love Island,Drama,5.4,Clario,Bubblegum
FIVE NIGHT AT FREDDY,Horror,5.4,"Tyler, the Creator",See You Again
Saving Bikini Bottom: The Sandy Cheeks Movie,Adventure,3.7,Kendrick Lamar,Swimming Pools
Space Jam: A New Legacy,Comedy,4.5,Christina Perri,You are my sunshine
Ryan's World the Movie: Titan Universe Adventure,Animation,1.8,Dream,Mask
Harry Potter and the Sorcerer's Stone ,Drama,7.7,Michale Jackson,Bad
Spiderman No Way Home ,Action,8.2,Young Thug,Bad Bad Bad
Space Jam,Action,6.7,Rock Your Body,Justing Timberlake
Star Wars Revenge of the Sith ,Sci-Fi,7.6,Katy Perry,Firework
Now You See Me,Action,7.2,PLAYBOI CARTI,FEIN
Spiderman ,Action,7.4,PLAYBOI CARTI,FEIN
Spiderman,Action,,PLAYBOI CARTI,FEIN
How to Train Your Dragon,Adventure,,PLAYBOI CARTI,FEIN
Shrek 2,Action,7.2,PLAYBOI CARTI,FEIN